"estacion";"var_id";"variable";"units";"value";"ts"
Rio San Pedro;11;TC;ºC;16.9;2023-03-10 00:10:00.000
Rio San Pedro;11;TC;ºC;16.9;2023-03-10 00:20:00.000
Rio San Pedro;11;TC;ºC;16.9;2023-03-10 00:30:00.000
Rio San Pedro;11;TC;ºC;16.87;2023-03-10 00:40:00.000
Rio San Pedro;11;TC;ºC;16.8;2023-03-10 00:50:00.000
Rio San Pedro;11;TC;ºC;16.79;2023-03-10 01:00:00.000
Rio San Pedro;11;TC;ºC;16.7;2023-03-10 01:10:00.000
Rio San Pedro;11;TC;ºC;16.7;2023-03-10 01:20:00.000
Rio San Pedro;11;TC;ºC;16.69;2023-03-10 01:30:00.000
Rio San Pedro;11;TC;ºC;16.61;2023-03-10 01:40:00.000
Rio San Pedro;11;TC;ºC;16.61;2023-03-10 01:50:00.000
Rio San Pedro;11;TC;ºC;16.66;2023-03-10 02:00:00.000
Rio San Pedro;11;TC;ºC;16.6;2023-03-10 02:10:00.000
Rio San Pedro;11;TC;ºC;16.58;2023-03-10 02:20:00.000
Rio San Pedro;11;TC;ºC;16.45;2023-03-10 02:30:00.000
Rio San Pedro;11;TC;ºC;16.29;2023-03-10 02:40:00.000
Rio San Pedro;11;TC;ºC;16.19;2023-03-10 02:50:00.000
Rio San Pedro;11;TC;ºC;16.12;2023-03-10 03:00:00.000
Rio San Pedro;11;TC;ºC;16.11;2023-03-10 03:10:00.000
Rio San Pedro;11;TC;ºC;16.11;2023-03-10 03:20:00.000
Rio San Pedro;11;TC;ºC;15.97;2023-03-10 03:30:00.000
Rio San Pedro;11;TC;ºC;15.9;2023-03-10 03:40:00.000
Rio San Pedro;11;TC;ºC;15.77;2023-03-10 03:50:00.000
Rio San Pedro;11;TC;ºC;15.69;2023-03-10 04:00:00.000
Rio San Pedro;11;TC;ºC;15.5;2023-03-10 04:10:00.000
Rio San Pedro;11;TC;ºC;15.35;2023-03-10 04:20:00.000
Rio San Pedro;11;TC;ºC;15.08;2023-03-10 04:30:00.000
Rio San Pedro;11;TC;ºC;14.76;2023-03-10 04:40:00.000
Rio San Pedro;11;TC;ºC;14.51;2023-03-10 04:50:00.000
Rio San Pedro;11;TC;ºC;14.42;2023-03-10 05:00:00.000
Rio San Pedro;11;TC;ºC;14.5;2023-03-10 05:10:00.000
Rio San Pedro;11;TC;ºC;14.43;2023-03-10 05:20:00.000
Rio San Pedro;11;TC;ºC;14.4;2023-03-10 05:30:00.000
Rio San Pedro;11;TC;ºC;14.55;2023-03-10 05:40:00.000
Rio San Pedro;11;TC;ºC;14.28;2023-03-10 05:50:00.000
Rio San Pedro;11;TC;ºC;14.0;2023-03-10 06:00:00.000
Rio San Pedro;11;TC;ºC;13.97;2023-03-10 06:10:00.000
Rio San Pedro;11;TC;ºC;13.87;2023-03-10 06:20:00.000
Rio San Pedro;11;TC;ºC;13.93;2023-03-10 06:30:00.000
Rio San Pedro;11;TC;ºC;14.01;2023-03-10 06:40:00.000
Rio San Pedro;11;TC;ºC;13.91;2023-03-10 06:50:00.000
Rio San Pedro;11;TC;ºC;13.7;2023-03-10 07:00:00.000
Rio San Pedro;11;TC;ºC;13.6;2023-03-10 07:10:00.000
Rio San Pedro;11;TC;ºC;13.51;2023-03-10 07:20:00.000
Rio San Pedro;11;TC;ºC;13.59;2023-03-10 07:30:00.000
Rio San Pedro;11;TC;ºC;13.76;2023-03-10 07:40:00.000
Rio San Pedro;11;TC;ºC;13.79;2023-03-10 07:50:00.000
Rio San Pedro;11;TC;ºC;14.28;2023-03-10 08:00:00.000
Rio San Pedro;11;TC;ºC;14.8;2023-03-10 08:10:00.000
Rio San Pedro;11;TC;ºC;15.29;2023-03-10 08:20:00.000
Rio San Pedro;11;TC;ºC;15.59;2023-03-10 08:30:00.000
Rio San Pedro;11;TC;ºC;15.91;2023-03-10 08:40:00.000
Rio San Pedro;11;TC;ºC;15.97;2023-03-10 08:50:00.000
Rio San Pedro;11;TC;ºC;15.74;2023-03-10 09:00:00.000
Rio San Pedro;11;TC;ºC;15.61;2023-03-10 09:10:00.000
Rio San Pedro;11;TC;ºC;15.89;2023-03-10 09:20:00.000
Rio San Pedro;11;TC;ºC;16.2;2023-03-10 09:30:00.000
Rio San Pedro;11;TC;ºC;16.43;2023-03-10 09:40:00.000
Rio San Pedro;11;TC;ºC;16.82;2023-03-10 09:50:00.000
Rio San Pedro;11;TC;ºC;17.26;2023-03-10 10:00:00.000
Rio San Pedro;11;TC;ºC;17.82;2023-03-10 10:10:00.000
Rio San Pedro;11;TC;ºC;17.92;2023-03-10 10:20:00.000
Rio San Pedro;11;TC;ºC;18.09;2023-03-10 10:30:00.000
Rio San Pedro;11;TC;ºC;18.49;2023-03-10 10:40:00.000
Rio San Pedro;11;TC;ºC;18.8;2023-03-10 10:50:00.000
Rio San Pedro;11;TC;ºC;18.63;2023-03-10 11:00:00.000
Rio San Pedro;11;TC;ºC;18.86;2023-03-10 11:10:00.000
Rio San Pedro;11;TC;ºC;19.13;2023-03-10 11:20:00.000
Rio San Pedro;11;TC;ºC;19.67;2023-03-10 11:30:00.000
Rio San Pedro;11;TC;ºC;19.47;2023-03-10 11:40:00.000
Rio San Pedro;11;TC;ºC;19.98;2023-03-10 11:50:00.000
Rio San Pedro;11;TC;ºC;20.08;2023-03-10 12:00:00.000
Rio San Pedro;11;TC;ºC;19.66;2023-03-10 12:10:00.000
Rio San Pedro;11;TC;ºC;19.85;2023-03-10 12:20:00.000
Rio San Pedro;11;TC;ºC;20.04;2023-03-10 12:30:00.000
Rio San Pedro;11;TC;ºC;20.16;2023-03-10 12:40:00.000
Rio San Pedro;11;TC;ºC;20.09;2023-03-10 12:50:00.000
Rio San Pedro;11;TC;ºC;20.14;2023-03-10 13:00:00.000
Rio San Pedro;11;TC;ºC;19.99;2023-03-10 13:10:00.000
Rio San Pedro;11;TC;ºC;20.09;2023-03-10 13:20:00.000
Rio San Pedro;11;TC;ºC;19.98;2023-03-10 13:30:00.000
Rio San Pedro;11;TC;ºC;19.6;2023-03-10 13:40:00.000
Rio San Pedro;11;TC;ºC;19.87;2023-03-10 13:50:00.000
Rio San Pedro;11;TC;ºC;20.13;2023-03-10 14:00:00.000
Rio San Pedro;11;TC;ºC;19.89;2023-03-10 14:10:00.000
Rio San Pedro;11;TC;ºC;19.9;2023-03-10 14:20:00.000
Rio San Pedro;11;TC;ºC;19.61;2023-03-10 14:30:00.000
Rio San Pedro;11;TC;ºC;19.88;2023-03-10 14:40:00.000
Rio San Pedro;11;TC;ºC;20.41;2023-03-10 14:50:00.000
Rio San Pedro;11;TC;ºC;20.38;2023-03-10 15:00:00.000
Rio San Pedro;11;TC;ºC;20.42;2023-03-10 15:10:00.000
Rio San Pedro;11;TC;ºC;20.81;2023-03-10 15:20:00.000
Rio San Pedro;11;TC;ºC;20.7;2023-03-10 15:30:00.000
Rio San Pedro;11;TC;ºC;20.44;2023-03-10 15:40:00.000
Rio San Pedro;11;TC;ºC;20.23;2023-03-10 15:50:00.000
Rio San Pedro;11;TC;ºC;20.07;2023-03-10 16:00:00.000
Rio San Pedro;11;TC;ºC;19.96;2023-03-10 16:10:00.000
Rio San Pedro;11;TC;ºC;19.91;2023-03-10 16:20:00.000
Rio San Pedro;11;TC;ºC;19.85;2023-03-10 16:30:00.000
Rio San Pedro;11;TC;ºC;19.96;2023-03-10 16:40:00.000
Rio San Pedro;11;TC;ºC;20.09;2023-03-10 16:50:00.000
Rio San Pedro;11;TC;ºC;20.01;2023-03-10 17:00:00.000
Rio San Pedro;11;TC;ºC;19.89;2023-03-10 17:10:00.000
Rio San Pedro;11;TC;ºC;20.03;2023-03-10 17:20:00.000
Rio San Pedro;11;TC;ºC;19.68;2023-03-10 17:30:00.000
Rio San Pedro;11;TC;ºC;19.3;2023-03-10 17:40:00.000
Rio San Pedro;11;TC;ºC;19.21;2023-03-10 17:50:00.000
Rio San Pedro;11;TC;ºC;18.97;2023-03-10 18:00:00.000
Rio San Pedro;11;TC;ºC;18.68;2023-03-10 18:10:00.000
Rio San Pedro;11;TC;ºC;18.39;2023-03-10 18:20:00.000
Rio San Pedro;11;TC;ºC;17.98;2023-03-10 18:30:00.000
Rio San Pedro;11;TC;ºC;17.68;2023-03-10 18:40:00.000
Rio San Pedro;11;TC;ºC;17.52;2023-03-10 18:50:00.000
Rio San Pedro;11;TC;ºC;17.37;2023-03-10 19:00:00.000
Rio San Pedro;11;TC;ºC;17.17;2023-03-10 19:10:00.000
Rio San Pedro;11;TC;ºC;17.12;2023-03-10 19:20:00.000
Rio San Pedro;11;TC;ºC;17.09;2023-03-10 19:30:00.000
Rio San Pedro;11;TC;ºC;17.08;2023-03-10 19:40:00.000
Rio San Pedro;11;TC;ºC;17.05;2023-03-10 19:50:00.000
Rio San Pedro;11;TC;ºC;16.99;2023-03-10 20:00:00.000
Rio San Pedro;11;TC;ºC;16.96;2023-03-10 20:10:00.000
Rio San Pedro;11;TC;ºC;16.88;2023-03-10 20:20:00.000
Rio San Pedro;11;TC;ºC;16.81;2023-03-10 20:30:00.000
Rio San Pedro;11;TC;ºC;16.73;2023-03-10 20:40:00.000
Rio San Pedro;11;TC;ºC;16.74;2023-03-10 20:50:00.000
Rio San Pedro;11;TC;ºC;16.8;2023-03-10 21:00:00.000
Rio San Pedro;11;TC;ºC;16.79;2023-03-10 21:10:00.000
Rio San Pedro;11;TC;ºC;16.76;2023-03-10 21:20:00.000
Rio San Pedro;11;TC;ºC;16.79;2023-03-10 21:30:00.000
Rio San Pedro;11;TC;ºC;16.65;2023-03-10 21:40:00.000
Rio San Pedro;11;TC;ºC;16.62;2023-03-10 21:50:00.000
Rio San Pedro;11;TC;ºC;16.6;2023-03-10 22:00:00.000
Rio San Pedro;11;TC;ºC;16.53;2023-03-10 22:10:00.000
Rio San Pedro;11;TC;ºC;16.44;2023-03-10 22:20:00.000
Rio San Pedro;11;TC;ºC;16.38;2023-03-10 22:30:00.000
Rio San Pedro;11;TC;ºC;16.25;2023-03-10 22:40:00.000
Rio San Pedro;11;TC;ºC;16.22;2023-03-10 22:50:00.000
Rio San Pedro;11;TC;ºC;16.21;2023-03-10 23:00:00.000
Rio San Pedro;11;TC;ºC;16.1;2023-03-10 23:10:00.000
Rio San Pedro;11;TC;ºC;15.95;2023-03-10 23:20:00.000
Rio San Pedro;11;TC;ºC;15.74;2023-03-10 23:30:00.000
Rio San Pedro;11;TC;ºC;15.71;2023-03-10 23:40:00.000
Rio San Pedro;11;TC;ºC;15.74;2023-03-10 23:50:00.000
Rio San Pedro;11;TC;ºC;15.7;2023-03-11 00:00:00.000
Rio San Pedro;11;TC;ºC;15.7;2023-03-11 00:10:00.000
Rio San Pedro;11;TC;ºC;15.6;2023-03-11 00:20:00.000
